method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,coherence_class,coherence_quant,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,class_visibility,class_visibility_eff,class_photons_per_pixel,class_photons_per_pixel_eff,class_mean_counts_per_pixel_frame,crlb_phi_rad_mean,crlb_phi_rad_median,crlb_phi_rad_p90,crlb_h_nm_mean,crlb_h_nm_median,crlb_h_nm_p90,quant_interferometer,quant_detector_model,quant_visibility,quant_visibility_eff,quant_pairs_per_pixel,quant_pairs_per_pixel_eff,gate_time_s,tau_c_s,eta1,eta2,dark1_hz,dark2_hz,phase_step_sigma_deg,deadtime1_s,deadtime2_s,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,rep,Sa_true_nm,Sq_true_nm,Sz_true_nm,Sa_est_nm,Sq_est_nm,Sz_est_nm,bias_Sa_nm,bias_Sq_nm,bias_Sz_nm,rmse_h_nm,step_est_nm,step_err_nm,quant_mean_counts_per_pixel_frame,crlb_phi_coarse_rad_median,crlb_h_coarse_nm_median,quant_target_mean_counts,quant_target_mean_counts_eff,su11_gain
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.9992980957,0.21484368446505187,0.20475754705911392,0.2775363116926213,9.09545354366713,8.668454749454611,11.749559387637397,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,6,64.00824378958805,79.81191698851954,520.6375093880803,64.5143311180478,80.4123659661831,548.3065834883433,0.5060873284597522,0.6004489776635621,27.66907410026309,9.068896598896481,-3.599848957735289,-3.599848957735289,29999.407516479492,0.07572833728579051,2.4406391902606783,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,80000.42141723633,0.21393652706342473,0.204473625255696,0.27577377576472467,9.057048840155186,8.65643485890278,11.674942050427116,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,7,64.103334789993,79.63279081774465,493.21196767035946,64.33665651366566,80.04766653492828,513.6074156225105,0.23332172367265627,0.41487571718363414,20.39544795215106,8.99815738373166,-7.401457714429468,-7.401457714429468,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80000.42141723633,0.07609570552350017,0.07567679576988554,0.08370667749711604,2.452479055631385,2.438978065136957,2.697772127426691,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,7,64.103334789993,79.63279081774465,493.21196767035946,64.11860824102776,79.66549931157988,496.2648073695999,0.015273451034749131,0.03270849383522713,3.0528396992404607,2.431940430928534,-7.830364980951134,-7.830364980951134,30000.263244628906,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80000.42141723633,0.21393652706342473,0.204473625255696,0.27577377576472467,9.057048840155186,8.65643485890278,11.674942050427116,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,7,64.103334789993,79.63279081774465,493.21196767035946,64.33665651366564,80.04766653492827,513.6074156225105,0.23332172367264303,0.41487571718362093,20.39544795215106,8.998157383731659,-7.4014577144294496,-7.4014577144294496,30000.263244628906,0.07567679576988554,2.438978065136957,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79999.03559875488,0.21427409560930258,0.20475726135518035,0.27512802850212886,9.071339877075728,8.668442654117197,11.647604201318288,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,8,62.863164559627535,78.96757030862183,543.477455814894,63.368951377454394,79.55651615658867,570.417732901398,0.5057868178268634,0.5889458479668459,26.940277086504086,9.033077193827095,-7.3776682704035,-7.3776682704035,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79999.03559875488,0.07606252702755253,0.0756031808903658,0.08377773327722399,2.4514097500004155,2.436605540314919,2.7000621753511753,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,8,62.863164559627535,78.96757030862183,543.477455814894,62.84759019755126,78.9722061943429,547.8865096267192,-0.015574362076271896,0.004635885721076365,4.409053811825206,2.4371181909065194,-7.0415403854028185,-7.0415403854028185,29999.426651000977,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79999.03559875488,0.21427409560930258,0.20475726135518035,0.27512802850212886,9.071339877075728,8.668442654117197,11.647604201318288,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,8,62.863164559627535,78.96757030862183,543.477455814894,63.368951377454394,79.55651615658867,570.417732901398,0.5057868178268634,0.5889458479668459,26.940277086504086,9.033077193827095,-7.377668270403538,-7.377668270403538,29999.426651000977,0.0756031808903658,2.436605540314919,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79999.48063659668,0.21464448561744753,0.2043740509716595,0.27834860303003883,9.087020417653447,8.652219360193321,11.78394791593787,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,9,63.58644271620053,79.33494372303691,582.1652103988696,64.08077459607426,79.94339854465089,580.3628819465848,0.4943318798737387,0.6084548216139719,-1.8023284522847869,9.103939143633303,-7.733865347242863,-7.733865347242863,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79999.48063659668,0.07609935457449782,0.07565217636699698,0.08388312619588785,2.4525966604434193,2.4381846094546558,2.7034588706555533,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,9,63.58644271620053,79.33494372303691,582.1652103988696,63.64519880082922,79.40920139241234,587.9423102774059,0.05875608462869201,0.07425766937543342,5.777099878536275,2.45420046118289,-7.211763127609603,-7.211763127609603,29999.74156188965,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79999.48063659668,0.21464448561744753,0.2043740509716595,0.27834860303003883,9.087020417653447,8.652219360193321,11.78394791593787,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,9,63.58644271620053,79.33494372303691,582.1652103988696,64.08077459607428,79.94339854465089,580.3628819465848,0.49433187987375193,0.6084548216139719,-1.8023284522847869,9.103939143633303,-7.733865347242882,-7.733865347242882,29999.74156188965,0.07565217636699698,2.4381846094546558,30000.0,30000.0,0.0
