method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,coherence_class,coherence_quant,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,class_visibility,class_visibility_eff,class_photons_per_pixel,class_photons_per_pixel_eff,class_mean_counts_per_pixel_frame,crlb_phi_rad_mean,crlb_phi_rad_median,crlb_phi_rad_p90,crlb_h_nm_mean,crlb_h_nm_median,crlb_h_nm_p90,quant_interferometer,quant_detector_model,quant_visibility,quant_visibility_eff,quant_pairs_per_pixel,quant_pairs_per_pixel_eff,gate_time_s,tau_c_s,eta1,eta2,dark1_hz,dark2_hz,phase_step_sigma_deg,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,rep,Sa_true_nm,Sq_true_nm,Sz_true_nm,Sa_est_nm,Sq_est_nm,Sz_est_nm,bias_Sa_nm,bias_Sq_nm,bias_Sz_nm,rmse_h_nm,step_est_nm,step_err_nm,quant_mean_counts_per_pixel_frame,crlb_phi_coarse_rad_median,crlb_h_coarse_nm_median,quant_target_mean_counts,quant_target_mean_counts_eff,su11_gain
quant_noon2,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.016737834412269944,80000.0,16000.0,16000.006561279297,0.20776841475510663,0.19905342579327284,0.2673319105102686,6.696142470895068,6.41526817251097,8.615806988291666,noon2,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,2,64.34518646245138,79.68847520541914,509.18388229070416,64.54693928816891,79.93429342845803,520.4109453983486,0.2017528257175396,0.2458182230388918,11.227063107644456,6.715159846318248,8.513931363258523,8.513931363258523,6000.122177124023,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.016737834412269944,80000.0,16000.0,16000.006561279297,0.7761626494088214,0.5518697421191192,1.2840439818056544,32.85901253092638,23.363524108694566,54.36027786257072,noon2,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,2,64.34518646245138,79.68847520541914,509.18388229070416,69.89133774386306,86.74059223432428,631.3491663313868,5.546151281411696,7.052117028905135,122.16528404068261,35.315754809975374,7.832453661470413,7.832453661470413,6000.122177124023,0.19905342579327284,6.41526817251097,0.0,0.0,0.0
classical,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,15999.553009033203,0.7530203405630723,0.5457762151594419,1.2755504939828537,31.879277913528544,23.105553335586528,54.00070423066091,-,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,183.4972451570482,247.55575163137743,2087.1971879364714,118.79842372898949,167.55947878857603,1590.1998724046452,242.1911409982422,230.06291011348037,230.06291011348037,,,,,,
quant_diff,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,15999.553009033203,0.20770084833064817,0.19850884305395716,0.266880927819313,10830.83517742652,10351.505916607199,13916.858618738326,diff,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,8538.937653362518,10756.509951368418,88055.50083591221,8474.238831934459,10676.513678525616,87558.50352038039,10755.637942858952,-149.4043903700845,-149.4043903700845,5999.720657348633,nan,nan,0.0,0.0,0.0
hybrid_diff,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,15999.553009033203,0.7530203405630723,0.5457762151594419,1.2755504939828537,31.879277913528544,23.105553335586528,54.00070423066091,diff,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,1705.8852804898272,2148.801902284562,16361.751128095622,1641.1864590617686,2068.8056294417606,15864.753812563798,2144.905862835928,10.141942954589204,10.141942954589204,5999.720657348633,0.19850884305395716,10351.505916607199,0.0,0.0,0.0
quant_noon2,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.016737834412269944,80000.0,16000.0,15999.553009033203,0.20802584229110482,0.1993007539207703,0.2674735158135392,6.704439071025589,6.423239280057487,8.620370768048332,noon2,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,64.86575522380821,80.16126524309517,502.3887542953533,0.16693379574949554,0.1649924002937676,5.391438763527197,6.69403968710747,3.234300434499888,3.234300434499888,5999.717330932617,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.016737834412269944,80000.0,16000.0,15999.553009033203,0.7530203405630723,0.5457762151594419,1.2755504939828537,31.879277913528544,23.105553335586528,54.00070423066091,noon2,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,71.38568214423003,89.25185117471358,629.2855676506847,6.686860716171314,9.255578331912181,132.28825211885857,44.15573659619027,2.7819525906811413,2.7819525906811413,5999.717330932617,0.1993007539207703,6.423239280057487,0.0,0.0,0.0
classical,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,16000.6689453125,0.7636121143652181,0.5519454143787652,1.2855543324188858,32.32768293321679,23.366727710065803,54.424218880299506,-,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,4,64.64017692465141,79.88821086621266,496.3154119796947,209.98136567550466,273.6828760484542,2031.2548130340163,145.34118875085323,193.79466518224154,1534.9394010543215,266.93076092737783,195.94657308934836,195.94657308934836,,,,,,
quant_diff,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,16000.6689453125,0.2078188842000388,0.19932420954295055,0.2669865870648198,10836.99031380015,10394.024279543426,13922.36835970594,diff,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,4,64.64017692465141,79.88821086621266,496.3154119796947,8526.810669967697,10754.612620154694,107024.1863742844,8462.170493043046,10674.724409288481,106527.8709623047,10754.291069177463,338.607717015874,338.607717015874,6000.386459350586,nan,nan,0.0,0.0,0.0
hybrid_diff,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,16000.6689453125,0.7636121143652181,0.5519454143787652,1.2855543324188858,32.32768293321679,23.366727710065803,54.424218880299506,diff,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,4,64.64017692465141,79.88821086621266,496.3154119796947,1695.803371671534,2140.1190217554044,17745.92145943069,1631.1631947468825,2060.2308108891916,17249.606047450998,2138.758199014318,274.08659362196545,274.08659362196545,6000.386459350586,0.19932420954295055,10394.024279543426,0.0,0.0,0.0
